Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges
42,0,51,100.04,2,1,5135.44
18,0,60,12.36,1,1,767.8
34,1,35,68.0,2,1,2407.26
40,1,57,77.18,2,0,4459.06
58,1,38,95.0,0,0,3577.89
33,0,36,81.52,0,3,2922.38
26,1,9,61.34,0,2,543.16
47,2,57,19.19,1,1,1066.65
60,0,36,77.11,1,0,2809.79
23,0,36,82.17,1,2,2947.88
75,1,53,17.9,2,1,863.89
40,1,11,103.76,0,0,1192.56
63,0,21,13.69,0,0,309.83
77,1,44,79.81,0,0,3519.06
66,1,38,25.8,1,2,985.37
18,0,61,100.3,2,0,6092.47
23,0,42,103.89,1,2,4331.86
51,1,6,142.86,0,2,852.64
51,1,68,118.47,0,0,7997.0
54,1,30,33.4,0,0,924.09
32,0,59,69.51,0,1,4101.38
59,1,59,31.9,0,3,1884.61
32,1,69,82.53,1,2,5724.06
38,0,17,79.41,1,3,1365.45
45,0,47,87.9,0,0,4152.87
41,0,42,125.97,1,3,5257.83
64,0,61,27.98,0,1,1699.47
62,1,7,105.35,0,3,734.69
76,1,9,51.48,2,3,543.51
34,0,17,118.58,0,2,2082.63
38,0,57,39.43,2,2,2257.02
72,0,15,121.33,0,2,1742.7
22,1,50,145.12,1,1,7299.4
59,1,12,58.44,0,1,756.0
49,1,40,88.6,0,0,3483.52
65,1,50,41.36,0,3,2085.7
71,0,15,45.67,2,2,802.72
66,0,33,49.03,0,0,1662.09
43,0,55,32.08,0,3,1783.49
41,1,54,51.23,0,3,2723.93
66,0,49,45.76,0,3,2248.24
18,1,7,108.67,1,3,825.75
30,0,65,113.92,1,1,7427.16
48,0,68,34.48,0,3,2325.37
71,0,7,98.11,0,0,615.0
53,1,38,39.79,0,1,1552.52
61,1,28,22.06,0,2,581.23
72,0,24,72.92,2,2,1753.95
46,1,34,141.6,0,2,4892.58
39,0,67,66.3,2,0,4452.48
25,1,54,46.48,0,2,2471.18
46,1,53,12.77,1,3,775.32
28,0,47,111.74,1,2,5323.78
65,0,49,146.0,0,3,7107.06
38,1,32,50.43,0,0,1675.78
58,0,39,87.92,0,1,3420.39
28,1,15,73.99,1,1,1122.93
52,1,20,50.36,2,0,1001.19
65,1,55,46.1,1,0,2490.07
22,1,6,125.23,0,0,743.36
69,0,69,81.99,0,3,5595.88
73,1,36,105.26,0,3,3849.53
53,0,40,61.53,0,3,2503.35
29,0,42,47.21,2,1,1998.04
37,2,47,64.92,2,3,3039.19
